Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,665.1975,SR1,2.9564333333333335
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland,577.9012499999999,SR1,2.5684499999999995
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland,508.07562499999995,SR1,2.2581138888888885
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland,518.36,SR1,2.303822222222222
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Papakura--Distribution Centre Auckland,697.03875,SR1,3.09795
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland,463.61062499999997,SR1,2.0604916666666666
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Takanini--Distribution Centre Auckland,601.211875,SR1,2.6720527777777776
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,555.0699999999999,SR1,2.4669777777777777
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,591.773125,SR1,2.630102777777778
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Papakura--Distribution Centre Auckland,756.4275,SR1,3.3619
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,526.4237499999999,SR1,2.339661111111111
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,660.600625,SR1,2.936002777777778
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,521.9474999999999,SR1,2.3197666666666663
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Papakura--Distribution Centre Auckland,686.22625,SR1,3.049894444444445
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,468.93750000000006,SR1,2.084166666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,590.4,SR1,2.624
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Countdown Papakura--Distribution Centre Auckland,705.3675,SR1,3.1349666666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,498.88750000000005,SR1,2.217277777777778
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,607.43875,SR1,2.699727777777778
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,661.275625,SR1,2.9390027777777776
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,706.515625,SR1,3.1400694444444444
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,571.9649999999999,SR1,2.5420666666666665
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,561.6487500000001,SR1,2.496216666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,598.3518750000001,SR1,2.6593416666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Papakura--Distribution Centre Auckland,763.0062500000001,SR1,3.3911388888888894
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,533.0024999999999,SR1,2.3688999999999996
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,667.1793749999999,SR1,2.9652416666666666
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,528.52625,SR1,2.349005555555556
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Papakura--Distribution Centre Auckland,692.805,SR1,3.079133333333333
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,475.51625000000007,SR1,2.113405555555556
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,596.97875,SR1,2.6532388888888887
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Countdown Papakura--Distribution Centre Auckland,711.94625,SR1,3.1642055555555553
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,505.46624999999995,SR1,2.2465166666666665
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,614.0174999999999,SR1,2.7289666666666665
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,667.854375,SR1,2.9682416666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,713.094375,SR1,3.1693083333333334
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,589.7056249999999,SR1,2.6209138888888885
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,585.519375,SR1,2.6023083333333332
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Papakura--Distribution Centre Auckland,749.798125,SR1,3.3324361111111114
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,532.509375,SR1,2.3667083333333334
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,653.9718750000001,SR1,2.906541666666667
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Countdown Papakura--Distribution Centre Auckland,795.3581250000001,SR1,3.5349250000000003
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,588.878125,SR1,2.617236111111111
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,697.429375,SR1,3.099686111111111
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,737.241875,SR1,3.2766305555555557
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,782.4818750000002,SR1,3.477697222222223
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,662.5174999999998,SR1,2.9445222222222216
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--Countdown Papakura--Distribution Centre Auckland,725.5325000000001,SR1,3.2245888888888894
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,519.0525,SR1,2.3069
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,627.6037500000001,SR1,2.78935
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,667.040625,SR1,2.964625
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,712.280625,SR1,3.1656916666666666
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,605.03125,SR1,2.689027777777778
Distribution Centre Auckland--Countdown Manurewa--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,686.181875,SR1,3.049697222222222
Distribution Centre Auckland--Countdown Manurewa--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,731.421875,SR1,3.250763888888889
