Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Manukau--Distribution Centre Auckland,917.8780555555554,SR1,4.065011111111111
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Manukau Mall--Distribution Centre Auckland,935.6606250000002,SR1,4.129675000000001
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Manurewa--Distribution Centre Auckland,948.2304166666667,SR1,4.1753833333333334
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Papatoetoe--Distribution Centre Auckland,902.0472222222222,SR1,4.007444444444444
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Takanini--Distribution Centre Auckland,980.7445833333334,SR1,4.293616666666667
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--SuperValue Flatbush--Distribution Centre Auckland,851.4575,SR1,3.7842555555555557
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--SuperValue Papakura--Distribution Centre Auckland,999.6470138888889,SR1,4.362352777777778
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland,905.396111111111,SR1,4.019622222222222
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland,923.1786805555555,SR1,4.084286111111111
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland,935.7484722222223,SR1,4.129994444444445
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland,903.2075694444443,SR1,4.011663888888888
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Takanini--Distribution Centre Auckland,968.2618749999999,SR1,4.248225
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--SuperValue Flatbush--Distribution Centre Auckland,841.245,SR1,3.7388666666666666
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--SuperValue Papakura--Distribution Centre Auckland,987.1650694444445,SR1,4.316963888888889
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,927.2784722222223,SR1,4.099194444444445
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,972.1378472222223,SR1,4.2623194444444445
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,926.6413888888891,SR1,4.096877777777778
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,987.5103472222221,SR1,4.318219444444444
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland,840.4337500000001,SR1,3.735261111111112
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--SuperValue Papakura--Distribution Centre Auckland,1006.4135416666669,SR1,4.386958333333334
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,990.5613194444444,SR1,4.329313888888889
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,960.1463194444444,SR1,4.218713888888889
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,1005.4754861111111,SR1,4.383547222222222
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland,863.2393749999999,SR1,3.836619444444444
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland,1024.3779166666666,SR1,4.452283333333333
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,991.0555555555557,SR1,4.331111111111111
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,1020.6043055555556,SR1,4.438561111111111
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland,888.278125,SR1,3.9479027777777778
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--SuperValue Papakura--Distribution Centre Auckland,1042.0764583333337,SR1,4.5166416666666676
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland,1063.282777777778,SR1,4.593755555555556
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland,1087.2933333333333,SR1,4.681066666666666
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,1025.5191666666665,SR1,4.456433333333333
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland,863.2293750000001,SR1,3.8365750000000003
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--SuperValue Papakura--Distribution Centre Auckland,1044.4215972222223,SR1,4.525169444444445
