Route, Time [min] 
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland, 230.51866666666666
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland, 230.37966666666665
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland, 208.68266666666665
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--SuperValue Papakura--Distribution Centre Auckland, 232.7845
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland, 237.54999999999998
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland, 214.6243333333333
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland, 236.56416666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland, 222.54416666666663
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland, 237.5525
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland, 227.79116666666664
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland, 212.83249999999998
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--SuperValue Papakura--Distribution Centre Auckland, 239.14816666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Roselands--SuperValue Flatbush--Distribution Centre Auckland, 238.21049999999997
Distribution Centre Auckland--Countdown Mangere East--Countdown Roselands--SuperValue Papakura--Distribution Centre Auckland, 233.1858333333333
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 226.99900000000002
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 227.5285
Distribution Centre Auckland--Countdown Mangere East--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 215.3555
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland, 232.273
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland, 232.134
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland, 210.437
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--SuperValue Papakura--Distribution Centre Auckland, 234.53883333333334
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland, 239.30433333333332
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland, 216.37866666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland, 238.3185
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland, 224.2985
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland, 239.30683333333337
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland, 229.5455
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland, 217.56333333333333
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Roselands--SuperValue Flatbush--Distribution Centre Auckland, 239.96483333333333
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Roselands--SuperValue Papakura--Distribution Centre Auckland, 234.94016666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 228.7531666666667
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 229.28266666666667
Distribution Centre Auckland--Countdown Mangere Mall--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 217.10983333333334
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland, 239.5025
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland, 216.57683333333335
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--SuperValue Papakura--Distribution Centre Auckland, 238.51666666666668
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland, 231.54166666666663
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland, 233.04883333333333
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland, 221.97983333333332
Distribution Centre Auckland--Countdown Manukau--Countdown Roselands--SuperValue Papakura--Distribution Centre Auckland, 238.4435
Distribution Centre Auckland--Countdown Manukau--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 232.25650000000002
Distribution Centre Auckland--Countdown Manukau--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 232.786
